source,target
144143,5209
17116,201802
23939,395190
21171,33832
14158,194463
26641,9052
192899,43002
192899,197366
192899,205091
282753,4124
25668,379282
130535,2623481
130535,27945
102675,99509
100124,21068
21258,41730
138498,249467
138498,251049
249641,5600
194463,306957
210702,5720
13802,40768
177674,216523
17116,4124
129936,38441
211355,93881
226274,40768
33832,379282
27945,282753
16707,251049
28686,290760
135790,19689
210702,99509
31921,84768
75326,7722
14158,89176
192899,32693
15197,18755
1445,2590
10725,26641
24547,43389
5209,86373
128417,84768
3169,89176
156461,24547
144143,6458
100299,18067
21171,5720
222639,32537
26641,86373
104792,197366
25668,27945
125290,208687
211355,43389
33832,5720
11350,138137
197366,2623481
247365,99509
145486,7722
5720,9413
128417,25668
110793,31921
122077,216296
162064,379282
102675,35907
270001,38175
151331,21000
21068,56789
251049,38437
210702,216523
156461,19689
154972,211355
38175,54404
140692,40052
250080,31921
25865,36860
2623481,54379
10725,210702
151331,40360
21258,757
379282,5720
158208,210702
40360,5289
370936,89176
17116,379282
24095,40052
147617,5720
147617,1763
130535,26641
249986,27945
108673,110793
270001,34789
197366,205091
197366,2590
22304,56789
128417,264287
156461,25668
154972,234445
140692,290760
250080,38106
40052,43389
2623481,83131
32537,6386
108673,54044
14382,38175
201802,56789
247365,290760
145486,32537
135790,376297
194463,282753
19689,201802
17116,28207
23939,28207
140486,99509
125290,191816
2590,31921
21068,40768
19689,33832
1763,38441
210702,5865
210702,58448
19758,7722
28207,9413
33976,6386
104792,201802
264287,5865
140692,31921
117489,192899
14382,54404
12390,129936
197366,43389
379282,40768
16707,43389
271504,32537
125159,376297
31921,89176
283530,31921
222639,40768
14158,282753
38175,43389
21015,54379
25668,40768
25668,282753
147617,34789
130535,36860
25865,41730
111428,154972
102675,62220
102675,38106
151331,154486
191816,249467
55195,68749
125159,2623481
205091,21000
205091,250080
135790,21000
127501,264287
156461,38437
140486,250080
192899,250080
104792,28207
21015,99509
21015,38175
250080,5865
103369,1763
103369,25668
217055,5209
101117,36860
271504,38175
28686,40052
210248,21068
3169,4124
156461,53741
144143,21171
19758,24547
38175,38441
21015,38437
125290,21015
211355,21171
197366,211355
21068,290760
1763,34789
13802,250080
129936,39599
283530,38106
38441,40768
19381,197366
211355,40052
36860,5289
100124,19689
24547,87812
154486,31921
135790,211355
294,54379
19689,32537
19689,54379
156461,21000
17116,38441
140486,34789
21577,3169
28207,38437
38175,38437
250080,89176
250080,283530
208687,32537
159211,36860
100124,142919
120088,194463
232693,27945
24860,25198
222639,36860
140692,21171
140692,4124
2590,43389
211355,294558
121421,19689
5289,89176
103369,43389
103369,125290
27945,5720
125159,271504
19689,93881
19689,21015
210702,68749
210702,38106
3169,38175
127501,40768
129936,208687
129936,247365
19758,43389
50988,82442
125290,31921
157722,19381
205091,84626
210702,264287
3169,40052
3169,32537
13802,2590
21171,251049
222639,251049
132748,301314
125290,25668
208687,4124
1445,264287
21000,251049
151331,21068
120088,138137
125159,43389
210702,5209
25540,38437
1445,210702
14382,55195
2187,247365
21258,43389
21258,24106
21258,34789
216296,6384
19689,222639
24106,28207
27522,80278
2590,4124
211355,290760
211355,296773
102675,32537
100124,145647
151331,156461
4775,6384
138498,25668
103369,264287
145486,4897
128417,251049
251049,99509
156461,36860
129936,197366
21015,5865
1445,21015
211355,68749
102675,282753
36860,5720
159211,4124
145486,21000
26134,4124
125159,16707
125159,38441
19689,2590
26641,27945
2623481,40052
379282,39599
247365,31921
16707,2623481
24106,32537
31921,7722
156461,217055
156461,28207
144143,32537
17116,36860
140486,17823
216523,249986
28207,5289
15351,2623481
250080,264287
15324,36860
197366,21000
197366,89176
138498,282753
135790,208687
68749,99202
130535,2590
102675,24547
138498,55195
247365,2623481
27945,43389
145486,201802
16707,2590
21068,2590
130916,197366
19689,197366
13802,58456
100299,21068
40768,757
147617,21015
1445,2623481
21000,210702
121421,125159
121421,157722
14382,376297
197366,249467
251049,39599
24106,9413
26641,93881
21015,56789
264287,271504
250080,6386
250080,27945
32537,38437
10725,24106
6386,94416
138498,40052
145486,17771
271504,36860
129936,38437
154972,251049
14158,208687
125290,249986
250080,39320
250080,55195
130535,156461
15539,1763
21000,21258
102675,9413
197366,84768
2834313,82442
1763,6458
251049,5720
3169,40768
144143,21000
21171,379282
192899,99509
157722,56789
250080,26641
208687,59325
21000,38437
159211,282753
197366,32693
5209,54044
19689,19758
1763,306957
1763,38106
31921,55195
112211,373353
23939,5289
129936,140692
130535,247365
54379,55195
12390,31921
154486,197366
154486,93881
138137,19381
251049,99202
24106,5289
23939,89176
21015,251049
282753,5720
25668,264287
2590,93881
130535,1445
249986,32537
108673,197366
107059,14158
121421,130535
121421,154972
100124,251049
100124,25668
24547,39599
197366,208687
201802,21000
138498,154972
138498,26641
34789,43389
192899,40052
25668,283530
21000,6386
36860,379282
12390,75326
197366,39890
197366,40768
216296,29001
144143,379282
140486,197366
216523,31921
38175,7722
34789,5720
151269,264287
208687,21000
1445,21000
121421,25668
197366,9105
197366,21068
103369,38437
145486,197366
125159,40052
251049,28207
406563,54404
25668,82442
87812,89176
21000,58448
102675,6384
100124,39890
12390,26641
197366,217055
19689,21171
376297,40768
110793,5720
110793,38106
251049,33832
24106,34789
156461,379282
26641,43389
26641,89176
28207,31921
192899,210248
19381,208687
130535,31921
102675,251049
121421,290760
14382,151269
100124,191816
14634,21577
16707,28207
21068,31921
19689,247365
1763,6386
13802,21258
156461,32537
40768,5720
264287,84768
102675,32159
102675,2623481
2623481,43389
108673,19689
108673,1763
108673,156461
14634,24547
12390,43389
191816,38175
247365,68749
127501,55195
156461,201802
144143,282753
118258,2590
154972,21000
21577,9413
222639,228104
38175,441
192899,93881
21015,249986
250080,68749
21000,38106
14382,28207
32693,40768
145486,24547
135790,156461
20104,250080
140486,24547
154972,271504
26641,34789
34789,7722
250080,82442
1445,32537
1445,19689
108673,144143
217055,24106
128417,5720
19689,36860
154972,210702
222639,43389
26641,5963
28207,4124
4124,5720
282753,406563
125290,59325
125290,99509
151269,32273
250080,54379
208687,251049
108673,21000
24547,27945
247365,406563
217055,251049
145647,83131
55195,59325
101117,197366
101117,138498
13993,190107
156461,54379
17116,197366
140486,39320
216523,222639
26641,5720
26641,282753
282753,89176
282753,38106
130535,197366
43389,93881
125159,38175
21068,32159
1763,84768
31921,9684
23939,36860
222639,31921
38175,5720
192899,40768
38441,39599
125290,32537
264287,31921
208687,40768
2623481,28207
2623481,82442
108673,56789
100124,68749
43389,53741
24547,9413
12390,50988
197366,264287
138498,211355
167843,94416
19689,217055
24106,27144
17116,32537
222639,264287
192899,210702
140692,192899
2590,2623481
130535,210702
36860,94416
43389,99202
197366,87812
217055,7722
21068,84768
128417,270001
1763,38175
31921,43389
156461,2590
144143,33832
140486,5209
192899,21000
192899,686372
130535,40768
211355,40768
32537,58448
10725,5865
100124,21000
100124,135790
151331,3169
154486,201802
138498,156461
128417,18127
1763,55195
210702,271504
13802,144143
156461,251049
154972,264287
21171,53741
192899,2590
15351,247365
125290,135790
140692,26641
130535,43389
121421,58448
100124,40768
154486,25540
2187,250080
379282,89176
247365,2590
27945,28207
101117,32159
1763,5209
144143,251049
18217,38175
28207,40768
125290,19689
264287,40052
24547,38175
24547,2590
32693,406563
101117,21000
101117,2590
16707,21000
19689,5963
14405,376297
251049,282753
210702,32159
158208,40052
38175,39599
282753,40052
40052,5600
6386,87812
154486,36860
125159,21258
125159,3169
128417,32273
251049,4124
158208,6458
156461,1763
140486,23939
140692,32693
140692,282753
130535,94416
197366,379282
154486,38437
379282,38175
125159,54379
26104,36860
135790,158208
125885,39599
1763,26641
210702,55195
158208,2623481
13802,38175
144143,197366
129936,21000
154972,4124
21577,43389
26641,283530
192899,211355
192899,247365
21015,217055
234445,40768
68749,89176
211355,26641
22795,6386
125159,32537
135790,55195
19689,208687
251049,43389
144143,211355
14158,68749
125290,264287
1445,21068
21000,5289
33832,39599
100124,247365
128754,5865
154486,211355
201802,31921
16707,250080
20762,27144
21171,250080
216523,5720
4124,9413
104792,4086
250080,3169
208687,26641
24547,4124
197366,25668
21258,5209
247365,32693
39320,5720
210702,2590
3169,99202
21015,32535
25668,5865
140692,1763
21000,21171
102675,234445
43389,55195
154486,23939
247365,84768
27945,31921
251049,34789
127501,151331
222639,27945
38175,5289
125290,26641
264287,283530
121421,138498
121421,38106
197366,210702
194463,197366
125885,40052
128417,27945
406563,55195
208687,55195
21000,21068
211355,2834313
24547,5289
24547,250080
32273,84768
201802,250080
21258,249467
21258,27945
103369,145647
247365,29001
216296,4775
32693,55195
17116,24547
26641,38437
228104,55195
208687,24547
40052,54379
2988,3169
21000,82442
10725,21577
191816,3169
21068,8961
21068,686372
56789,58448
144143,36860
216523,3169
192899,5209
192899,55195
21015,270001
282753,99509
2590,28207
38437,50988
211355,99202
32537,56789
197366,247365
103369,250080
217055,6386
21068,34789
1763,39599
104792,129936
1445,190107
2623481,27945
24547,5963
201802,38175
103369,156461
16707,24547
1763,3169
127501,144143
156461,19758
154972,296773
283530,68749
38175,40052
2590,68749
1445,21258
1445,15351
10725,24547
10725,9413
13624,21258
197366,40052
197366,251049
138498,290760
138498,283530
138498,140692
21068,2187
19689,25668
251049,264287
31921,5963
264287,68749
250080,4897
87812,99202
32159,93881
10725,14634
20104,6386
129936,36860
216523,32693
26641,38175
4124,6458
21015,34789
208687,216523
197366,5720
16707,3169
19689,38175
110793,27945
1763,32537
1763,2590
251049,40052
251049,89176
251049,271504
251049,3169
127501,168159
192899,216523
19381,290760
264287,4124
226274,58448
113510,216523
191816,192899
162427,23939
31921,38106
156461,6386
156461,5209
17116,40768
28207,36860
264287,32693
130535,1763
24547,36860
14634,210702
197366,4124
103369,21015
16707,26632
264294,53741
19689,290760
1763,9684
156461,250080
144143,40768
26641,5209
40768,68749
77219,82442
208687,82442
102675,31921
32537,5720
197366,21258
27945,3169
55195,99509
101117,54379
135790,247365
19689,264287
154972,250080
264287,55195
21000,5720
21000,264287
21258,36860
103369,2623481
103369,26641
5865,84768
194463,26641
21068,58448
24106,31921
156461,264294
140486,54379
21171,283530
40768,43389
21015,24547
100124,379282
43389,5720
197366,250080
154486,156461
138498,191816
145486,34789
125159,27945
110793,19689
26641,36860
130535,154486
249986,93881
36860,4124
108673,25668
14382,27945
43389,54379
21258,264287
5865,99509
376297,5209
251049,264294
19758,251049
15351,99509
125290,6458
140692,249467
247365,43389
125159,250080
21068,26641
19689,31921
1763,43389
1763,50988
179007,3795
140486,24106
15351,191816
161418,7722
208687,211355
32537,55195
171072,282753
197366,234445
125159,21015
135790,43389
1763,54379
251049,87812
31921,38175
177674,3169
125290,306957
130535,140486
108673,86373
108673,21015
100124,250080
270001,4897
379282,68749
125159,19689
296773,50485
19689,372852
251049,32537
144143,191816
104792,4124
130535,19758
12390,86373
12390,1763
201802,21015
21258,251049
21258,250080
145486,210702
129347,211355
251049,93881
3169,379282
13802,140486
129936,156461
140486,217055
38175,55195
157722,84768
38106,99202
21000,55195
32537,40768
247365,32159
142957,19758
19689,32693
156461,58448
283530,40052
228104,68749
264287,89176
151269,27945
14382,42788
201802,24547
138498,197366
125159,190107
251049,31921
127501,282753
13802,27945
19758,9684
125290,9105
250080,32537
102675,16707
17823,19689
249467,271504
249467,283530
27945,36860
27945,34789
125159,26641
296773,77596
19689,40768
251049,7722
210702,249986
3169,9413
156461,5720
129936,38175
18217,228104
192899,282753
33976,57452
140692,264287
1445,58448
21000,249986
21000,93881
21000,250080
211355,31921
32537,38175
36860,43389
14382,290760
14382,25668
11350,125290
100124,156461
151331,16707
191816,40768
5289,69181
138137,208687
5720,5963
135790,25668
250080,290760
1445,84768
10725,40768
14382,201802
100124,2623481
16291,270001
290760,32537
271504,283530
125159,32535
125159,156461
31921,38437
19758,38175
192899,3169
208687,50988
40052,93881
102675,250080
121421,9684
201802,3169
191816,68749
138498,1763
103369,144143
26104,28862
17116,5289
28207,4775
21015,21068
288643,288652
15351,2187
38441,6458
397289,398530
38106,6386
38106,5865
208687,99509
12390,5720
27945,54379
39320,86373
20762,217055
1763,217055
251049,26641
26641,99202
250080,43389
208687,21171
21000,84768
270001,5963
14634,205091
197366,54379
197366,5963
21258,5865
5865,9413
101117,139523
1763,247365
1763,4897
3169,68749
31921,93881
144143,194463
38175,68749
25668,84768
211355,247365
102675,40768
197366,55195
201802,251049
19689,249986
18217,42867
216523,5209
34789,86373
234445,31921
